region_i,region_j,site_1,site_2,abs_z,p_raw,is_diag,reject_fdr
4,39,NEUROIMAGE,PEKING,1.6785345992402707,0.09324278189469201,False,False
4,40,NEUROIMAGE,PEKING,1.0089474101539728,0.31299985621410664,False,False
4,41,NEUROIMAGE,PEKING,1.0157577713356234,0.3097447498017126,False,False
4,42,NEUROIMAGE,PEKING,0.48300738765549966,0.6290904907096101,False,False
4,43,NEUROIMAGE,PEKING,0.6888660181297627,0.49090758585478866,False,False
4,44,NEUROIMAGE,PEKING,2.2380018688583516,0.025220933254865917,False,False
4,45,NEUROIMAGE,PEKING,1.4448892695058282,0.1484889908501383,False,False
4,46,NEUROIMAGE,PEKING,0.9669939784179571,0.3335470438952247,False,False
5,0,NEUROIMAGE,PEKING,0.3116136383203393,0.7553341681179805,False,False
5,1,NEUROIMAGE,PEKING,0.48619736209081427,0.6268272414758419,False,False
5,2,NEUROIMAGE,PEKING,0.15136216730647525,0.8796900316824957,False,False
5,3,NEUROIMAGE,PEKING,0.35803473305518324,0.7203173209385112,False,False
5,4,NEUROIMAGE,PEKING,1.5297107062248967,0.1260883523859533,False,False
5,5,NEUROIMAGE,PEKING,1.1139529631738467,0.265299366161303,True,False
5,6,NEUROIMAGE,PEKING,1.2409641830526248,0.2146189805244083,False,False
5,7,NEUROIMAGE,PEKING,1.35207832847748,0.17635025924292824,False,False
5,8,NEUROIMAGE,PEKING,2.136106643687407,0.03267072236706072,False,False
5,9,NEUROIMAGE,PEKING,1.6740940125496013,0.0941121243198103,False,False
5,10,NEUROIMAGE,PEKING,0.8422235895768786,0.399662812010007,False,False
5,11,NEUROIMAGE,PEKING,1.1803812347777003,0.23784862193998801,False,False
5,12,NEUROIMAGE,PEKING,0.9416622832424374,0.346365571009967,False,False
5,13,NEUROIMAGE,PEKING,0.2772458454367917,0.7815913392075162,False,False
5,14,NEUROIMAGE,PEKING,0.3191606871074967,0.7496046663429068,False,False
5,15,NEUROIMAGE,PEKING,1.0706220595860914,0.2843394005138631,False,False
5,16,NEUROIMAGE,PEKING,0.6315409185837094,0.5276869032597251,False,False
5,17,NEUROIMAGE,PEKING,0.7433079337611336,0.4572952693340149,False,False
5,18,NEUROIMAGE,PEKING,1.7792474711742488,0.07519919872609213,False,False
5,19,NEUROIMAGE,PEKING,0.13802984933309137,0.8902168269767672,False,False
5,20,NEUROIMAGE,PEKING,0.3077129643987429,0.7583007539281239,False,False
5,21,NEUROIMAGE,PEKING,0.8730064864548032,0.3826595422107044,False,False
5,22,NEUROIMAGE,PEKING,0.00609154993381941,0.9951396764151199,False,False
5,23,NEUROIMAGE,PEKING,0.6257191376109916,0.5314991784018959,False,False
5,24,NEUROIMAGE,PEKING,0.8544194489207446,0.392872623487185,False,False
5,25,NEUROIMAGE,PEKING,0.7369059822878372,0.46117952580906707,False,False
5,26,NEUROIMAGE,PEKING,3.0089191770032393,0.0026217885223201,False,False
5,27,NEUROIMAGE,PEKING,0.6822986951967992,0.4950500979586042,False,False
5,28,NEUROIMAGE,PEKING,0.6548770729160915,0.512546902712359,False,False
5,29,NEUROIMAGE,PEKING,1.2680111767543243,0.20479395922944665,False,False
5,30,NEUROIMAGE,PEKING,0.5718505191378965,0.567423248455857,False,False
5,31,NEUROIMAGE,PEKING,0.7104150852755727,0.4774467711957662,False,False
5,32,NEUROIMAGE,PEKING,1.4822665402781643,0.13826938758498752,False,False
5,33,NEUROIMAGE,PEKING,1.9978196175031555,0.045736219726395445,False,False
5,34,NEUROIMAGE,PEKING,2.423756851596913,0.015360886381554004,False,False
5,35,NEUROIMAGE,PEKING,0.22355416226311395,0.8231042341307973,False,False
5,36,NEUROIMAGE,PEKING,0.8205186266552865,0.41192051513663963,False,False
5,37,NEUROIMAGE,PEKING,1.0167418160141288,0.3092762675919909,False,False
5,38,NEUROIMAGE,PEKING,0.6949415215034712,0.4870919501723502,False,False
5,39,NEUROIMAGE,PEKING,0.20907512484174287,0.8343895930735028,False,False
5,40,NEUROIMAGE,PEKING,0.513562284904046,0.6075580537831179,False,False
5,41,NEUROIMAGE,PEKING,1.4136492083302676,0.15746492536860512,False,False
5,42,NEUROIMAGE,PEKING,0.4662038940155319,0.6410695623224967,False,False
5,43,NEUROIMAGE,PEKING,1.5370887507775004,0.12427157732215961,False,False
5,44,NEUROIMAGE,PEKING,2.8259091371698357,0.004714663567621299,False,False
5,45,NEUROIMAGE,PEKING,0.02070571653823372,0.9834804088605081,False,False
5,46,NEUROIMAGE,PEKING,1.7101470424696037,0.08723868562771904,False,False
6,0,NEUROIMAGE,PEKING,1.9238592578444444,0.05437222728792207,False,False
6,1,NEUROIMAGE,PEKING,2.097615160934785,0.03593915472507759,False,False
6,2,NEUROIMAGE,PEKING,0.5515152408981382,0.5812805218050866,False,False
6,3,NEUROIMAGE,PEKING,1.3842997581517305,0.16626668806560851,False,False
6,4,NEUROIMAGE,PEKING,2.496642995520517,0.012537510817117658,False,False
6,5,NEUROIMAGE,PEKING,0.17836677550086166,0.858434940184852,False,False
6,6,NEUROIMAGE,PEKING,0.3711487242706653,0.7105267618614322,True,False
6,7,NEUROIMAGE,PEKING,0.5915352770482052,0.5541618256799147,False,False
6,8,NEUROIMAGE,PEKING,1.1765509402733327,0.23937478902592702,False,False
